freq,unit,age,isced11,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,TOTAL,NAP,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4 	2 	0 
A,NR,TOTAL,NAP,ME	0 	0 	0 	59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,NAP,MK	728 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,NAP,NO	1403 	388 	405 	410 	360 	360 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 
A,NR,TOTAL,NAP,PL	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	38 	31 	43 	33 
A,NR,TOTAL,NAP,PT	782 	644 	580 	616 	508 	470 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21 	23 
A,NR,TOTAL,NAP,RO	0 	0 	0 	0 	12676 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	746 	643 
A,NR,TOTAL,NAP,RS	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,NAP,SE	0 	356 	37 	0 	0 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9 	5 
A,NR,TOTAL,NAP,SI	1 	2 	1 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	2 
A,NR,TOTAL,NAP,SK	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	47 	45 	44 	43 
A,NR,TOTAL,NAP,SM	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,NAP,TR	: 	: 	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 
A,NR,TOTAL,NAP,XK	0 	0 	: 	: 	75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,TOTAL,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28075 	27211 	24688 	23617 
A,NR,TOTAL,TOTAL,AM	: 	: 	44413 	: 	: 	: 	: 	43031 	41763 	40592 	37700 	36574 	36041 	36353 	: 	36375 	36590 
A,NR,TOTAL,TOTAL,AT	76250 	77752 	76344 	78742 	78109 	78952 	: 	: 	: 	: 	: 	: 	: 	83603 	86078 	82627 	77605 
A,NR,TOTAL,TOTAL,AZ	151963 	: 	152139 	165643 	: 	174469 	172671 	170503 	166210 	159464 	144041 	138982 	141179 	126571 	112284 	122846 	112620 
A,NR,TOTAL,TOTAL,BA	: 	: 	: 	33528 	: 	32547 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,TOTAL,BE	124095 	127205 	127198 	130100 	128705 	128051 	: 	125014 	: 	: 	: 	: 	: 	114350 	118349 	114095 	110785 
A,NR,TOTAL,TOTAL,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	59086 	58678 	56596 	57197 
A,NR,TOTAL,TOTAL,BY	103626 	: 	109263 	: 	109147 	: 	: 	: 	119028 	117779 	102556 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,TOTAL,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	85914 	89644 	82371 	80024 
A,NR,TOTAL,TOTAL,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9930 	10309 	10197 	10241 
A,NR,TOTAL,TOTAL,CZ	114632 	119570 	118348 	117153 	108673 	108576 	106751 	109860 	110764 	112663 	114405 	114036 	112231 	110200 	111793 	101299 	91149 
A,NR,TOTAL,TOTAL,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	773144 	795492 	738819 	692989 
A,NR,TOTAL,TOTAL,DK	64082 	65038 	62818 	63411 	58998 	57916 	55873 	56870 	58205 	61614 	61397 	61476 	61167 	60937 	63473 	58430 	57469 
A,NR,TOTAL,TOTAL,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3043333 	3085074 	2951533 	2811423 
A,NR,TOTAL,TOTAL,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3079178 	3121582 	2985416 	2843593 
A,NR,TOTAL,TOTAL,EE	15775 	16028 	15763 	15825 	14679 	14056 	: 	: 	13907 	: 	13784 	14367 	14099 	13209 	13272 	11646 	10949 
A,NR,TOTAL,TOTAL,EFTA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	143758 	150958 	138606 	136683 
A,NR,TOTAL,TOTAL,EL	111926 	118302 	117933 	114766 	106428 	100371 	94134 	92149 	91847 	92898 	88553 	86440 	83763 	84764 	85346 	75921 	71249 
A,NR,TOTAL,TOTAL,ES	491138 	518503 	493717 	485252 	470553 	453348 	424440 	426076 	418432 	408734 	391265 	370827 	: 	340635 	336823 	328704 	319830 
A,NR,TOTAL,TOTAL,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4069896 	4088494 	3879509 	3669659 
A,NR,TOTAL,TOTAL,FI	58729 	59530 	60430 	60980 	59961 	59493 	58134 	57232 	55472 	52814 	50321 	47577 	45613 	46463 	49594 	44951 	43383 
A,NR,TOTAL,TOTAL,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	735775 	742602 	726533 	678333 
A,NR,TOTAL,TOTAL,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	46520 	45946 	42319 	40214 
A,NR,TOTAL,TOTAL,HR	41910 	43753 	44577 	43361 	41197 	41771 	39939 	39566 	37503 	37537 	36556 	36945 	36135 	35845 	36508 	33883 	32170 
A,NR,TOTAL,TOTAL,HU	97613 	99149 	96442 	90335 	88049 	90269 	89524 	93281 	92135 	95361 	94646 	93467 	93100 	93807 	94003 	89669 	87671 
A,NR,TOTAL,TOTAL,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55959 	60553 	54411 	54472 
A,NR,TOTAL,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4512 	4879 	4391 	4315 
A,NR,TOTAL,TOTAL,IT	563933 	576659 	568857 	561944 	546585 	534186 	514308 	502596 	485780 	473438 	458151 	439747 	: 	404892 	400249 	393333 	379890 
A,NR,TOTAL,TOTAL,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	353 	375 	364 	361 
A,NR,TOTAL,TOTAL,LT	: 	: 	: 	: 	: 	29944 	28861 	29364 	30065 	29514 	27911 	26792 	24973 	23556 	23330 	22068 	20623 
A,NR,TOTAL,TOTAL,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6459 	6690 	6495 	6320 
A,NR,TOTAL,TOTAL,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20828 	19314 	18786 	17552 	17420 	15954 	14490 
A,NR,TOTAL,TOTAL,MD	: 	: 	: 	: 	: 	: 	: 	40709 	40547 	39640 	36363 	34537 	32423 	30834 	29320 	26952 p	24123 
A,NR,TOTAL,TOTAL,ME	7834 	8258 	8642 	7418 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7097 	7033 	7021 	7008 
A,NR,TOTAL,TOTAL,MK	22688 	22945 	23684 	24296 	22770 	23568 	23138 	23596 	23075 	23002 	21754 	21333 	19845 	19031 	18648 	18073 	16737 
A,NR,TOTAL,TOTAL,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4414 	4395 	4309 	4462 
A,NR,TOTAL,TOTAL,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	168681 	179441 	167504 	164487 
A,NR,TOTAL,TOTAL,NO	58459 	60497 	61807 	61442 	60220 	60255 	58878 	58976 	58815 	58890 	56633 	55120 	54495 	52979 	56060 	51480 	51983 
A,NR,TOTAL,TOTAL,PL	: 	414499 	417589 	413300 	388416 	386257 	369576 	375160 	369308 	382257 	401982 	388178 	374954 	355309 	331511 	305132 	272451 
A,NR,TOTAL,TOTAL,PT	102492 	104594 	99491 	101381 	96856 	89841 	82787 	82367 	85500 	87126 	86154 	87020 	86579 	84530 	79582 	83671 	85699 
A,NR,TOTAL,TOTAL,RO	214728 	221900 	222388 	212199 	196242 	201104 	188599 	198740 	201995 	205773 	210590 	202744 	199720 	198302 	193191 	178233 	160078 
A,NR,TOTAL,TOTAL,RS	: 	69083 	70299 	68304 	65598 	67257 	65554 	66461 	65657 	64734 	64894 	63975 	64399 	61692 	62180 	62700 	61052 
A,NR,TOTAL,TOTAL,RU	: 	: 	: 	: 	: 	: 	1895822 	1913472 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,TOTAL,SE	107421 	109301 	111801 	115641 	111770 	113177 	113593 	114907 	114870 	117425 	115416 	115832 	114523 	113077 	114263 	104734 	100051 
A,NR,TOTAL,TOTAL,SI	19823 	21817 	21856 	22343 	21947 	: 	21111 	: 	: 	20345 	20241 	19585 	19328 	18767 	18984 	17627 	16989 
A,NR,TOTAL,TOTAL,SK	54424 	57360 	61217 	60410 	60813 	55535 	54823 	55033 	55602 	57557 	57969 	57639 	57054 	56650 	56565 	52668 	48627 
A,NR,TOTAL,TOTAL,SM	: 	: 	: 	: 	: 	292 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,TOTAL,TR	: 	: 	: 	: 	1241412 	1279864 	1283062 	1337504 	1325783 	1309771 	1291055 	1248847 	1183652 	1112859 	: 	1035795 	: 
A,NR,TOTAL,TOTAL,UA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	293457 	271983 	: 	: 
A,NR,TOTAL,TOTAL,XK	33112 	34399 	: 	: 	27626 	: 	: 	: 	24594 	23416 	23402 	22761 	21798 	21907 	22830 	: 	: 
A,NR,TOTAL,UNK,AM	: 	: 	8317 	: 	: 	: 	: 	0 	0 	201 	57 	6 	6 	5 	: 	4 	11 
A,NR,TOTAL,UNK,AT	4880 	5965 	6303 	6866 	7599 	8994 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,UNK,AZ	0 	: 	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
A,NR,TOTAL,UNK,BA	: 	: 	: 	618 	: 	668 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
